GEO_ID,NAME,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Median age (years),Estimate!!Total!!Total population!!SUMMARY INDICATORS!!Sex ratio (males per 100 females)
310M600US10140,"Aberdeen, WA",76841,44.5,103
310M600US10180,"Abilene, TX",178608,34.4,106.1
310M600US10300,"Adrian, MI",98956,42,101.6
310M600US10380,"Aguadilla-Isabela, PR",309515,45.3,92.8
310M600US10420,"Akron, OH",700015,41.1,95.2
310M600US10460,"Alamogordo, NM",68537,37,118.7
310M600US10500,"Albany, GA",146961,38.4,92.4
310M600US10540,"Albany-Lebanon, OR",129839,40.3,101.3
310M600US10580,"Albany-Schenectady-Troy, NY",899286,40.7,96.3
310M600US10700,"Albertville, AL",98228,37.8,93
310M600US10740,"Albuquerque, NM",921311,39.4,97.9
310M600US10780,"Alexandria, LA",150890,39.1,98
310M600US10900,"Allentown-Bethlehem-Easton, PA-NJ",865310,41.2,97
310M600US11020,"Altoona, PA",121767,43.6,96.2
310M600US11100,"Amarillo, TX",270119,35.8,103.9
310M600US11180,"Ames, IA",126195,30.1,105.2
310M600US11260,"Anchorage, AK",398807,35.5,106.1
310M600US11460,"Ann Arbor, MI",369390,34.8,98.1
310M600US11500,"Anniston-Oxford, AL",115972,40.2,92
310M600US11540,"Appleton, WI",244084,38.9,100.9
310M600US11640,"Arecibo, PR",182014,44.8,93.3
310M600US11700,"Asheville, NC",472341,44.8,94.1
310M600US11780,"Ashtabula, OH",97337,42.8,102.8
310M600US11980,"Athens, TX",83667,42.9,96.1
310M600US12020,"Athens-Clarke County, GA",217382,33,89.7
310M600US12060,"Atlanta-Sandy Springs-Alpharetta, GA",6144970,37.2,93.8
310M600US12100,"Atlantic City-Hammonton, NJ",274966,42.2,94.8
310M600US12180,"Auburn, NY",75880,44.2,109.3
310M600US12220,"Auburn-Opelika, AL",177218,33.3,96.6
310M600US12260,"Augusta-Richmond County, GA-SC",616395,38.1,96.4
310M600US12300,"Augusta-Waterville, ME",124486,44.1,93.4
310M600US12420,"Austin-Round Rock-Georgetown, TX",2352426,35.9,101.7
310M600US12540,"Bakersfield, CA",917673,32.5,105.8
310M600US12580,"Baltimore-Columbia-Towson, MD",2838327,38.9,94
310M600US12620,"Bangor, ME",152765,42.2,97.7
310M600US12660,"Baraboo, WI",65697,41,102.7
310M600US12700,"Barnstable Town, MA",232411,54.6,91.8
310M600US12940,"Baton Rouge, LA",871905,36.3,95.5
310M600US12980,"Battle Creek, MI",133819,40.3,95.7
310M600US13020,"Bay City, MI",102985,43.9,99.4
310M600US13140,"Beaumont-Port Arthur, TX",395419,37.1,103.4
310M600US13180,"Beaver Dam, WI",89313,42.4,116.7
310M600US13220,"Beckley, WV",113698,44.2,99.1
310M600US13380,"Bellingham, WA",228831,38.8,98
310M600US13460,"Bend, OR",204801,42.6,101.5
310M600US13740,"Billings, MT",187037,39.3,98.8
310M600US13780,"Binghamton, NY",245220,41.4,97.3
310M600US13820,"Birmingham-Hoover, AL",1114262,39.4,93.6
310M600US13900,"Bismarck, ND",134028,38.7,106.4
310M600US13980,"Blacksburg-Christiansburg, VA",168404,33.9,100.5
310M600US14010,"Bloomington, IL",170889,33.9,98.3
310M600US14020,"Bloomington, IN",161321,31.6,102.2
310M600US14100,"Bloomsburg-Berwick, PA",82959,43.1,95.5
310M600US14140,"Bluefield, WV-VA",104994,44.8,99.4
310M600US14260,"Boise City, ID",801470,37.4,100.5
310M600US14460,"Boston-Cambridge-Newton, MA-NH",4899932,39.2,95.7
