Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1) 2020,Population Estimate (as of July 1) 2021
"Aguadilla-Isabela, PR",310160.00,309773.00,307788.00
"Anaheim-Santa Ana-Irvine, CA Metro Division",3186989.00,3184101.00,3167809.00
"Arecibo, PR",182705.00,182574.00,182014.00
"Boston, MA Metro Division",2054736.00,2052435.00,2028753.00
"Cambridge-Newton-Framingham, MA Metro Division",2441831.00,2438640.00,2421816.00
"Camden, NJ Metro Division",1287639.00,1287673.00,1292517.00
"Chicago-Naperville-Evanston, IL Metro Division",7267535.00,7252081.00,7159394.00
"Dallas-Plano-Irving, TX Metro Division",5129966.00,5148585.00,5217380.00
"Detroit-Dearborn-Livonia, MI Metro Division",1793561.00,1790225.00,1774816.00
"Elgin, IL Metro Division",748811.00,748679.00,750869.00
"Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division",1944375.00,1941516.00,1930983.00
"Fort Worth-Arlington-Grapevine, TX Metro Division",2507421.00,2513740.00,2542235.00
"Frederick-Gaithersburg-Rockville, MD Metro Division",1333778.00,1333980.00,1334662.00
"Gary, IN Metro Division",718663.00,718555.00,719700.00
"Guayama, PR",68442.00,68367.00,68178.00
"Lake County-Kenosha County, IL-WI Metro Division",883493.00,882290.00,879971.00
"Los Angeles-Long Beach-Glendale, CA Metro Division",10014009.00,9989165.00,9829544.00
"Mayagüez, PR",97605.00,97335.00,96270.00
"Miami-Miami Beach-Kendall, FL Metro Division",2701767.00,2692459.00,2662777.00
"Montgomery County-Bucks County-Chester County, PA Metro Division",2037504.00,2037600.00,2045325.00
"Nassau County-Suffolk County, NY Metro Division",2921694.00,2918077.00,2917251.00
"New Brunswick-Lakewood, NJ Metro Division",2489367.00,2488909.00,2500806.00
"New York-Jersey City-White Plains, NY-NJ Metro Division",12449348.00,12412533.00,12076970.00
"Newark, NJ-PA Metro Division",2280061.00,2276894.00,2273431.00
"Oakland-Berkeley-Livermore, CA Metro Division",2848280.00,2845406.00,2809969.00
"Philadelphia, PA Metro Division",2180627.00,2177393.00,2150100.00
"Ponce, PR",224142.00,223553.00,221222.00
"Rockingham County-Strafford County, NH Metro Division",445065.00,445436.00,449363.00
"San Francisco-San Mateo-Redwood City, CA Metro Division",1638407.00,1632467.00,1553089.00
"San Germán, PR",125100.00,124989.00,124644.00
"San Juan-Bayamón-Caguas, PR",2081265.00,2078738.00,2068451.00
"San Rafael, CA Metro Division",262321.00,261776.00,260206.00
"Seattle-Bellevue-Kent, WA Metro Division",3097632.00,3101902.00,3085845.00
"Tacoma-Lakewood, WA Metro Division",921130.00,922828.00,925708.00
"Warren-Troy-Farmington Hills, MI Metro Division",2598480.00,2595523.00,2590389.00
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division",5051384.00,5051734.00,5021772.00
"West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division",1492191.00,1492466.00,1497987.00
"Wilmington, DE-MD-NJ Metro Division",739281.00,739317.00,740659.00
"Yauco, PR",86142.00,85898.00,84738.00
"Aberdeen, SD",42287.00,42187.00,42134.00
"Aberdeen, WA",75636.00,75811.00,76841.00
"Abilene, TX",176579.00,176809.00,177314.00
"Ada, OK",38065.00,38077.00,38163.00
"Adrian, MI",99423.00,99214.00,98956.00
"Akron, OH",702219.00,701305.00,700015.00
"Alamogordo, NM",67839.00,67861.00,68537.00
"Albany, GA",148922.00,148417.00,147773.00
"Albany-Lebanon, OR",128610.00,128936.00,129839.00
"Albany-Schenectady-Troy, NY",899262.00,898561.00,899286.00
"Albemarle, NC",62504.00,62609.00,63425.00
"Albert Lea, MN",30895.00,30883.00,30749.00
"Albertville, AL",97612.00,97608.00,98228.00
"Albuquerque, NM",916528.00,917179.00,918259.00
"Alexander City, AL",51698.00,51612.00,51473.00
"Alexandria, LA",152192.00,151736.00,150890.00
"Alexandria, MN",39006.00,39079.00,39238.00
"Alice, TX",48722.00,48621.00,48603.00
"Allentown-Bethlehem-Easton, PA-NJ",861889.00,861705.00,865310.00
"Alma, MI",41761.00,41662.00,41544.00
"Alpena, MI",28907.00,28877.00,28893.00
"Altoona, PA",122822.00,122518.00,121767.00
"Altus, OK",24785.00,24731.00,24777.00
"Amarillo, TX",268691.00,268820.00,269703.00
"Americus, GA",34163.00,34091.00,33761.00
"Ames, IA",125252.00,125306.00,126195.00
"Amsterdam, NY",49532.00,49433.00,49558.00
"Anchorage, AK",398328.00,398097.00,398807.00
"Andrews, TX",18610.00,18612.00,18440.00
"Angola, IN",34435.00,34440.00,34632.00
"Ann Arbor, MI",372258.00,371656.00,369390.00
"Anniston-Oxford, AL",116441.00,116266.00,115972.00
"Appleton, WI",243147.00,243308.00,244084.00
"Arcadia, FL",33976.00,34080.00,34408.00
"Ardmore, OK",58149.00,58146.00,58507.00
"Arkadelphia, AR",21446.00,21362.00,21321.00
"Asheville, NC",469015.00,469454.00,472341.00
"Ashland, OH",52447.00,52420.00,52316.00
"Ashtabula, OH",97574.00,97413.00,97337.00
"Astoria, OR",41072.00,41089.00,41810.00
"Atchison, KS",16348.00,16305.00,16239.00
"Athens, OH",62431.00,62350.00,62056.00
"Athens, TN",53276.00,53315.00,54059.00
"Athens, TX",82150.00,82348.00,83667.00
"Athens-Clarke County, GA",215415.00,215638.00,217759.00
"Atlanta-Sandy Springs-Alpharetta, GA",6089815.00,6101146.00,6144050.00
"Atlantic City-Hammonton, NJ",274534.00,274191.00,274966.00
"Atmore, AL",36757.00,36665.00,36699.00
"Auburn, IN",43265.00,43274.00,43333.00
"Auburn, NY",76248.00,76095.00,75880.00
"Auburn-Opelika, AL",174241.00,174601.00,177218.00
"Augusta-Richmond County, GA-SC",611000.00,611720.00,615933.00
"Augusta-Waterville, ME",123642.00,123754.00,124486.00
"Austin, MN",40029.00,40049.00,40158.00
"Austin-Round Rock-Georgetown, TX",2283371.00,2299125.00,2352426.00
"Bainbridge, GA",29367.00,29338.00,29038.00
"Bakersfield, CA",909235.00,909997.00,917673.00
"Baltimore-Columbia-Towson, MD",2844510.00,2841691.00,2838327.00
"Bangor, ME",152199.00,152007.00,152765.00
"Baraboo, WI",65763.00,65718.00,65697.00
"Bardstown, KY",46738.00,46756.00,47098.00
"Barnstable Town, MA",228996.00,228969.00,232411.00
"Barre, VT",59807.00,59748.00,59969.00
"Bartlesville, OK",52455.00,52593.00,52772.00
"Batavia, NY",58388.00,58258.00,57853.00
"Batesville, AR",55209.00,55174.00,55345.00
"Baton Rouge, LA",870569.00,870178.00,871905.00
"Battle Creek, MI",134310.00,134113.00,133819.00
"Bay City, MI",103856.00,103594.00,102985.00
"Bay City, TX",36255.00,36269.00,36344.00
"Beatrice, NE",21704.00,21663.00,21616.00
"Beaumont-Port Arthur, TX",397565.00,396958.00,395419.00
"Beaver Dam, WI",89396.00,89262.00,89313.00
"Beckley, WV",115079.00,114707.00,113698.00
"Bedford, IN",45011.00,45022.00,45070.00
"Beeville, TX",31047.00,30990.00,30924.00
"Bellefontaine, OH",46150.00,46065.00,46035.00
"Bellingham, WA",226847.00,227304.00,228831.00
"Bemidji, MN",46228.00,46230.00,46380.00
"Bend, OR",198253.00,199355.00,204801.00
"Bennettsville, SC",26667.00,26537.00,26382.00
"Bennington, VT",37347.00,37271.00,37312.00
"Berlin, NH",31268.00,31173.00,31289.00
"Big Rapids, MI",39714.00,39781.00,40031.00
"Big Spring, TX",34860.00,34797.00,34128.00
"Big Stone Gap, VA",39817.00,39697.00,39313.00
"Billings, MT",184167.00,184567.00,187037.00
"Binghamton, NY",247138.00,246554.00,245220.00
"Birmingham-Hoover, AL",1115289.00,1114710.00,1114262.00
"Bismarck, ND",133626.00,133666.00,134417.00
"Blackfoot, ID",47992.00,48068.00,48876.00
"Blacksburg-Christiansburg, VA",166378.00,166111.00,165293.00
"Bloomington, IL",170954.00,170870.00,170889.00
"Bloomington, IN",161039.00,160815.00,161321.00
"Bloomsburg-Berwick, PA",82863.00,82782.00,82959.00
"Bluefield, WV-VA",106363.00,106052.00,105195.00
"Bluffton, IN",28180.00,28179.00,28197.00
"Blytheville, AR",40685.00,40503.00,39661.00
"Bogalusa, LA",45463.00,45370.00,45133.00
"Boise City, ID",764718.00,769581.00,795268.00
"Bonham, TX",35662.00,35732.00,36569.00
"Boone, NC",54086.00,54072.00,54234.00
"Borger, TX",20617.00,20539.00,20495.00
"Boston-Cambridge-Newton, MA-NH",4941632.00,4936511.00,4899932.00
"Boulder, CO",330758.00,330811.00,329543.00
"Bowling Green, KY",179639.00,179978.00,182594.00
