,MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
0,"Akron, OH",3.0,2.34,0.46,0.72,0.24,0.92,"160,665",0.06,0.14,0.4,0.63,0.68,0.4,0.06,0.09
1,"Albany-Schenectady-Troy, NY",3.0,2.29,0.47,0.66,0.3,0.93,"208,912",0.06,0.13,0.38,0.63,0.74,0.38,0.03,0.07
2,"Allentown-Bethlehem-Easton, PA-NJ",4.0,2.5,0.49,0.71,0.24,0.91,"191,596",0.06,0.13,0.42,0.64,0.72,0.37,0.06,0.08
3,"Altoona, PA",,,,,,,,,,,,,,,
4,"Anaheim-Santa Ana-Irvine, CA",,,,,,,,,,,,,,,
5,"Ann Arbor, MI",,,,,,,,,,,,,,,
6,"Anniston-Oxford, AL",,,,,,,,,,,,,,,
7,"Appleton, WI",,,,,,,,,,,,,,,
8,"Asheville, NC",,,,,,,,,,,,,,,
9,"Atlanta-Sandy Springs-Alpharetta, GA",4.0,2.66,0.48,0.72,0.22,0.91,"1,573,561",0.07,0.11,0.48,0.67,0.7,0.28,0.12,0.09
10,"Atlantic City-Hammonton, NJ",,,,,,,,,,,,,,,
11,"Auburn-Opelika, AL",,,,,,,,,,,,,,,
12,"Augusta-Richmond County, GA-SC",4.0,2.69,0.44,0.72,0.22,0.89,"144,792",0.11,0.16,0.44,0.61,0.65,0.38,0.11,0.13
13,"Austin-Round Rock-Georgetown, TX",4.0,2.42,0.5,0.68,0.27,0.92,"624,985",0.06,0.1,0.58,0.71,0.74,0.23,0.13,0.07
14,"Bakersfield, CA",4.0,3.14,0.44,0.78,0.18,0.77,"217,085",0.05,0.11,0.57,0.58,0.51,0.49,0.08,0.15
15,"Baltimore-Columbia-Towson, MD",4.0,2.48,0.47,0.68,0.28,0.92,"672,232",0.07,0.12,0.39,0.67,0.74,0.36,0.05,0.08
16,"Beaumont-Port Arthur, TX",,,,,,,,,,,,,,,
