MSA,year,income_pc
"Abilene, TX",2018,44039
"Akron, OH",2018,49770
"Albany, GA",2018,36889
"Albany-Lebanon, OR",2018,42811
"Albany-Schenectady-Troy, NY",2018,57743
"Albuquerque, NM",2018,42129
"Alexandria, LA",2018,42744
"Allentown-Bethlehem-Easton, PA-NJ",2018,53518
"Altoona, PA",2018,46236
"Amarillo, TX",2018,46895
"Ames, IA",2018,43564
"Anchorage, AK",2018,61584
"Ann Arbor, MI",2018,58667
"Anniston-Oxford, AL",2018,36482
"Appleton, WI",2018,50951
"Asheville, NC",2018,45540
"Athens-Clarke County, GA",2018,40371
"Atlanta-Sandy Springs-Alpharetta, GA",2018,53354
"Atlantic City-Hammonton, NJ",2018,48110
"Auburn-Opelika, AL",2018,38184
"Augusta-Richmond County, GA-SC",2018,41738
"Austin-Round Rock-Georgetown, TX",2018,60764
"Bakersfield, CA",2018,38079
"Baltimore-Columbia-Towson, MD",2018,60766
"Bangor, ME",2018,41554
"Barnstable Town, MA",2018,71735
"Baton Rouge, LA",2018,48500
"Battle Creek, MI",2018,39189
"Bay City, MI",2018,42286
"Beaumont-Port Arthur, TX",2018,44232
"Beckley, WV",2018,39240
"Bellingham, WA",2018,47898
"Bend, OR",2018,55473
"Billings, MT",2018,52457
"Binghamton, NY",2018,43754
"Birmingham-Hoover, AL",2018,51377
"Bismarck, ND",2018,57640
"Blacksburg-Christiansburg, VA",2018,37683
"Bloomington, IL",2018,49302
"Bloomington, IN",2018,41899
"Bloomsburg-Berwick, PA",2018,45463
"Boise City, ID",2018,46237
"Boston-Cambridge-Newton, MA-NH",2018,77752
"Boulder, CO",2018,72607
"Bowling Green, KY",2018,36082
"Bremerton-Silverdale-Port Orchard, WA",2018,54597
"Bridgeport-Stamford-Norwalk, CT",2018,116757
"Brownsville-Harlingen, TX",2018,28978
"Brunswick, GA",2018,41595
"Buffalo-Cheektowaga, NY",2018,49344
"Burlington, NC",2018,39742
"Burlington-South Burlington, VT",2018,56799
"California-Lexington Park, MD",2018,56372
"Canton-Massillon, OH",2018,44544
"Cape Coral-Fort Myers, FL",2018,52022
"Cape Girardeau, MO-IL",2018,42816
"Carbondale-Marion, IL",2018,40124
"Carson City, NV",2018,50378
"Casper, WY",2018,71185
"Cedar Rapids, IA",2018,52032
"Chambersburg-Waynesboro, PA",2018,46435
"Champaign-Urbana, IL",2018,44971
"Charleston, WV",2018,44328
"Charleston-North Charleston, SC",2018,50814
"Charlotte-Concord-Gastonia, NC-SC",2018,52232
"Charlottesville, VA",2018,66576
"Chattanooga, TN-GA",2018,45935
"Cheyenne, WY",2018,52224
"Chicago-Naperville-Elgin, IL-IN-WI",2018,61970
"Chico, CA",2018,42441
"Cincinnati, OH-KY-IN",2018,54109
"Clarksville, TN-KY",2018,40928
"Cleveland, TN",2018,38418
"Cleveland-Elyria, OH",2018,53881
"Coeur d'Alene, ID",2018,45311
"College Station-Bryan, TX",2018,41146
"Colorado Springs, CO",2018,48562
"Columbia, MO",2018,45575
"Columbia, SC",2018,44739
"Columbus, GA-AL",2018,40276
"Columbus, IN",2018,51441
"Columbus, OH",2018,51196
"Corpus Christi, TX",2018,43618
"Corvallis, OR",2018,45846
"Crestview-Fort Walton Beach-Destin, FL",2018,52807
"Cumberland, MD-WV",2018,39817
"Dallas-Fort Worth-Arlington, TX",2018,57562
"Dalton, GA",2018,36697
"Danville, IL",2018,38433
"Daphne-Fairhope-Foley, AL",2018,46905
"Davenport-Moline-Rock Island, IA-IL",2018,48660
"Dayton-Kettering, OH",2018,47682
"Decatur, AL",2018,38608
"Decatur, IL",2018,47662
"Deltona-Daytona Beach-Ormond Beach, FL",2018,43575
"Denver-Aurora-Lakewood, CO",2018,64114
"Des Moines-West Des Moines, IA",2018,53814
"Detroit-Warren-Dearborn, MI",2018,52469
"Dothan, AL",2018,41141
"Dover, DE",2018,42155
"Dubuque, IA",2018,49703
"Duluth, MN-WI",2018,45717
"Durham-Chapel Hill, NC",2018,52243
"East Stroudsburg, PA",2018,42708
"Eau Claire, WI",2018,47300
"El Centro, CA",2018,35331
"Elizabethtown-Fort Knox, KY",2018,41440
"Elkhart-Goshen, IN",2018,46541
"Elmira, NY",2018,43941
"El Paso, TX",2018,36347
"Enid, OK",2018,44288
"Erie, PA",2018,44740
"Eugene-Springfield, OR",2018,44957
"Evansville, IN-KY",2018,46925
"Fairbanks, AK",2018,56888
