iter	MAPE	RMSE
0	0.9664118877	23878.71119
1	0.93680024	23256.93211
2	0.9073484383	22685.92142
3	0.8794882441	22119.23341
4	0.8525906155	21575.35033
5	0.8247479661	21057.01057
6	0.7992292901	20567.33317
7	0.7739295959	20103.07108
8	0.7500050691	19613.77414
9	0.7268348027	19135.89151
10	0.7049595762	18687.60558
11	0.6840655103	18255.6466
12	0.6628335401	17866.68539
13	0.6436128317	17443.7087
14	0.6253569236	17042.02869
15	0.6076720391	16662.45418
16	0.5908341995	16286.97891
17	0.574677081	15938.3828
18	0.5595124602	15600.94157
19	0.5459051547	15264.01833
20	0.5326221766	14930.92766
21	0.5205624581	14631.31569
22	0.509794948	14334.93984
23	0.5001033289	14038.19388
24	0.4915993636	13759.05341
25	0.4838739777	13485.35975
26	0.4757439122	13214.92112
27	0.4684942749	12957.18472
28	0.4621071545	12709.77548
29	0.4562441285	12479.67647
30	0.4507745079	12254.14531
31	0.4451293664	12034.26054
32	0.4401708219	11818.04787
33	0.4361011435	11602.34592
34	0.432467005	11402.49572
35	0.428746099	11202.20447
36	0.4259090294	11019.28038
37	0.4234900185	10841.81308
38	0.4210629401	10672.20766
39	0.4183712365	10501.26855
40	0.4145761883	10343.59421
41	0.4114571895	10186.0904
42	0.4088691636	10031.71912
43	0.4061895882	9889.074645
44	0.4049893757	9755.692295
45	0.4034512941	9624.785579
46	0.4021253016	9497.318086
47	0.4010952011	9374.141744
48	0.3999800145	9252.558742
49	0.3991242411	9146.518467
50	0.3984544027	9038.499686
51	0.3977826067	8935.440011
52	0.3968020642	8833.091638
53	0.3953712969	8725.006405
54	0.3940091065	8621.849242
55	0.3929397909	8521.972963
56	0.391846651	8426.793762
57	0.3909721995	8323.106386
58	0.3891748482	8225.648423
59	0.3883012421	8135.432933
60	0.3873241945	8053.284733
61	0.3866420022	7977.382254
62	0.3861096313	7899.319468
63	0.385889793	7828.265713
64	0.3850487025	7750.091695
65	0.3842956853	7679.204643
66	0.3834919868	7621.889619
67	0.3832382388	7565.829503
68	0.3829247224	7502.425276
69	0.382740985	7440.830315
70	0.3819343917	7386.209066
71	0.3818063214	7325.142715
72	0.3818111501	7265.328263
73	0.380630703	7198.712506
74	0.3794060292	7143.319826
75	0.3791285138	7087.462015
76	0.3786216442	7034.417264
77	0.3787994057	6992.916441
78	0.3783039549	6946.301404
79	0.3783036732	6906.344794
80	0.3784804517	6863.346177
81	0.3783276852	6823.455282
82	0.3775962298	6776.166766
83	0.3770194847	6739.026169
84	0.3770661622	6697.573083
85	0.3766132299	6664.504538
86	0.376617674	6626.467513
87	0.376310792	6598.502001
88	0.3758867501	6568.849996
89	0.3752418982	6537.780818
90	0.3748458879	6510.687002
91	0.3740269509	6476.058452
92	0.3734036337	6443.13639
93	0.3728140385	6416.480181
94	0.3722993222	6389.519346
95	0.3724000597	6368.821558
96	0.3725577234	6345.232007
97	0.3717138736	6319.47139
98	0.3716769671	6292.612412
99	0.3716058711	6254.720752
100	0.3706394414	6232.728625
101	0.3703181595	6203.984259
102	0.3702284487	6174.395404
103	0.3694929099	6144.888161
104	0.3681167383	6119.989719
105	0.3682917879	6103.215859
106	0.368065795	6076.416537
107	0.3676960445	6052.969359
108	0.3666644682	6033.711751
109	0.3657611039	6016.206983
110	0.3650938671	5993.453664
111	0.3646649335	5976.708182
112	0.3643996674	5962.255599
113	0.3632152605	5944.202314
114	0.3632126926	5916.870998
115	0.3631328942	5903.158636
116	0.3628019214	5885.835334
117	0.3625789356	5866.717275
118	0.3617897128	5848.896803
119	0.3606322741	5829.739738
120	0.3600867634	5811.540388
121	0.3587916138	5794.485962
122	0.3580019759	5777.520415
123	0.3580277358	5769.717117
124	0.3580803275	5760.549165
125	0.3575439634	5745.800892
126	0.3561967998	5732.910912
127	0.3561138853	5720.922339
128	0.3550180767	5701.467454
129	0.3540641228	5686.380684
130	0.3536802063	5674.255638
131	0.3530356651	5658.571186
132	0.3525141986	5645.084031
133	0.3516329588	5632.930983
134	0.351225986	5617.922551
135	0.3505860724	5609.109348
136	0.3493684194	5598.551621
137	0.3493859648	5586.105527
138	0.3485592097	5567.740262
139	0.3485338302	5550.874412
140	0.348448377	5535.273681
141	0.3481360967	5524.145723
142	0.3476217998	5518.359333
143	0.3469632849	5507.225566
144	0.346732589	5488.426106
145	0.3453271175	5472.414989
146	0.3449265858	5459.927393
147	0.3447045066	5452.341435
148	0.3445405303	5442.5246
149	0.3440890785	5429.717579
150	0.3429825432	5416.792592
151	0.3429318324	5409.302654
152	0.3427039319	5402.804912
153	0.3424286621	5391.189013
154	0.3423324836	5383.587171
155	0.3411194772	5366.863584
156	0.3410225255	5358.365274
157	0.3403569113	5348.812641
158	0.3399147832	5338.646556
159	0.3397792842	5326.289973
160	0.3393771429	5319.773186
161	0.3389716209	5309.041213
162	0.3388732898	5298.175187
163	0.3380557456	5287.080074
164	0.3382556406	5285.998678
165	0.3381522058	5277.920589
166	0.3376187554	5270.375486
167	0.3368187873	5256.808597
168	0.3355330384	5250.800056
169	0.3353604688	5240.322989
170	0.3347823966	5235.417098
171	0.3344194586	5230.68785
172	0.3335778731	5212.779576
173	0.3332786996	5207.657611
174	0.3326437148	5201.034329
175	0.332341748	5195.499244
176	0.3320987364	5188.818434
177	0.3316496679	5183.793222
178	0.3313829271	5176.548758
179	0.3311104648	5168.969804
180	0.3307077774	5155.967123
181	0.3301763707	5146.353385
182	0.3297824017	5140.974878
183	0.3293386276	5135.01771
184	0.3291638327	5129.537117
185	0.32901425	5124.49347
186	0.3281965383	5113.303566
187	0.3275204869	5107.81889
188	0.3266173858	5099.324923
189	0.3260382755	5090.241639
190	0.3249946326	5081.473695
191	0.3246257306	5074.721245
192	0.3244238148	5067.191413
193	0.3242300801	5063.145366
194	0.323891327	5058.144289
195	0.323297168	5051.883687
196	0.323128946	5046.630846
197	0.3224335468	5032.301515
198	0.3222876618	5027.039304
199	0.3222230118	5019.318401
200	0.3222686166	5015.87347
201	0.3217552196	5007.542739
202	0.3212226004	5003.468747
203	0.3205762656	4995.073579
204	0.3204035774	4981.791998
205	0.3202385113	4976.883923
206	0.3197903169	4973.080518
207	0.319313667	4968.644623
208	0.319281688	4965.360014
209	0.318860037	4958.726511
210	0.3179575899	4954.336495
211	0.3178626245	4951.426506
212	0.317763131	4949.010132
213	0.3176277102	4942.247616
214	0.3173748894	4935.688675
215	0.3174047355	4934.482872
216	0.3171911477	4931.294406
217	0.3170840682	4928.077393
218	0.3166126393	4924.706176
219	0.3160592875	4919.703223
220	0.3153355841	4913.34634
221	0.3149988455	4909.891578
222	0.31468516	4903.442595
223	0.314547692	4899.425901
224	0.3142990139	4887.546248
225	0.3138756603	4880.355639
226	0.3134121431	4877.107872
227	0.3127621675	4868.871614
228	0.3114983023	4865.709449
229	0.3107678677	4861.223717
230	0.310072815	4850.414684
