iter	RMSE
0	15097.9348
1	14599.8141
2	14124.41022
3	13658.9959
4	13246.67972
5	12822.01219
6	12461.49932
7	12105.7442
8	11786.27342
9	11459.23261
10	11170.67914
11	10882.73368
12	10616.13901
13	10360.57865
14	10146.63336
15	9913.67709
16	9701.802204
17	9503.462664
18	9296.385153
19	9096.55645
20	8906.942642
21	8736.430176
22	8574.015282
23	8420.486377
24	8277.786984
25	8143.029145
26	8026.559176
27	7912.321915
28	7808.15136
29	7692.779105
30	7597.876684
31	7519.891135
32	7434.212394
33	7359.427868
34	7264.856898
35	7195.490252
36	7125.127562
37	7056.594314
38	7003.928345
39	6938.205287
40	6875.770782
41	6820.247651
42	6769.989793
43	6725.855546
44	6665.939744
45	6610.961161
46	6555.952606
47	6514.68911
48	6460.317586
49	6414.450229
50	6377.101148
51	6333.266958
52	6289.310374
53	6259.078406
54	6218.316147
55	6191.893214
56	6161.687835
57	6130.27765
58	6104.584068
59	6087.794928
60	6055.975074
61	6031.897038
62	6004.323591
63	5966.252938
64	5933.241367
65	5908.249025
66	5893.047784
67	5867.371507
68	5849.378669
69	5829.18604
70	5816.869515
71	5792.275059
72	5775.795699
73	5757.531757
74	5733.881544
75	5710.445409
76	5685.00595
77	5667.582008
78	5642.915984
79	5620.664495
80	5593.487194
81	5569.599641
82	5557.872047
83	5540.858015
84	5524.090934
85	5509.523498
86	5496.422988
87	5484.686371
88	5468.476405
89	5460.014049
90	5455.059121
91	5448.041795
92	5434.611546
93	5400.149293
94	5381.318231
95	5367.191993
96	5360.95123
97	5340.857302
98	5320.204941
99	5299.182379
100	5287.500811
101	5282.514051
102	5269.667467
103	5260.202995
104	5250.945165
105	5239.151549
106	5228.025444
107	5220.676018
108	5210.203706
109	5202.82718
110	5191.72367
111	5183.458845
112	5172.02745
113	5153.992686
114	5146.196035
115	5134.223936
116	5122.866232
117	5116.571654
118	5104.800853
119	5092.211296
120	5086.637
121	5075.438781
122	5068.317445
123	5060.836675
124	5048.635799
125	5036.669846
126	5031.993465
127	5017.527051
128	5008.834955
129	5002.948713
130	4996.562454
131	4989.251883
132	4979.672698
133	4972.285906
134	4969.275187
135	4964.664885
136	4952.567611
137	4946.923524
138	4932.547456
139	4917.763722
140	4913.667074
141	4904.076526
142	4901.622215
143	4892.985893
144	4883.831388
145	4878.477104
146	4873.569935
147	4866.304681
148	4855.519039
149	4849.729844
150	4845.913487
151	4834.701167
152	4829.817152
153	4823.610584
154	4811.013805
155	4806.879325
156	4804.477783
157	4797.101626
158	4784.054052
159	4774.818262
160	4773.507657
161	4764.417785
162	4759.524724
163	4753.604514
164	4748.140835
165	4742.018557
166	4735.862673
167	4730.492088
168	4714.458081
169	4706.278069
170	4698.520485
171	4689.122553
172	4686.32142
173	4680.215812
174	4670.439501
175	4663.809731
176	4658.188419
177	4651.67739
178	4642.085623
179	4630.522071
180	4618.824021
181	4613.106948
182	4606.888375
183	4598.634286
184	4586.359831
185	4577.726823
186	4566.154258
187	4561.73232
188	4553.564993
189	4543.227199
190	4530.924701
191	4525.269368
192	4513.617001
