iter	Passed	Remaining
0	34	34236
1	75	37529
2	90	29927
3	128	32007
4	168	33587
5	211	34991
6	262	37235
7	300	37274
8	338	37230
9	379	37545
10	410	36866
11	451	37185
12	487	37027
13	522	36774
14	535	35184
15	568	34938
16	599	34679
17	631	34438
18	665	34385
19	701	34349
20	736	34315
21	773	34372
22	807	34293
23	842	34260
24	877	34226
25	912	34177
26	947	34127
27	983	34157
28	1020	34178
29	1057	34198
30	1093	34192
31	1113	33671
32	1145	33571
33	1180	33535
34	1216	33539
35	1253	33572
36	1290	33595
37	1327	33607
38	1357	33445
39	1394	33458
40	1427	33390
41	1463	33386
42	1511	33637
43	1546	33609
44	1580	33548
45	1616	33522
46	1649	33453
47	1684	33403
48	1718	33348
49	1752	33291
50	1788	33286
51	1822	33231
52	1858	33203
53	1894	33189
54	1927	33122
55	1963	33095
56	1998	33058
57	2033	33028
58	2070	33016
59	2108	33032
60	2144	33015
61	2178	32963
62	2215	32956
63	2251	32929
64	2288	32921
65	2327	32932
66	2371	33018
67	2406	32981
68	2441	32937
69	2474	32877
70	2510	32842
71	2545	32803
72	2579	32756
73	2613	32708
74	2648	32661
75	2682	32615
76	2716	32568
77	2750	32517
78	2789	32517
79	2837	32627
80	2873	32599
81	2910	32586
82	2946	32554
83	2984	32541
84	3018	32490
85	3053	32447
86	3088	32412
87	3125	32395
88	3166	32409
89	3203	32389
90	3239	32355
91	3274	32318
92	3314	32321
93	3353	32324
94	3392	32322
95	3427	32278
96	3464	32249
97	3499	32211
98	3536	32187
99	3574	32169
100	3610	32139
101	3647	32115
102	3684	32091
103	3722	32071
104	3760	32053
105	3797	32031
106	3835	32009
107	3877	32022
108	3917	32025
109	3959	32036
110	4007	32099
111	4055	32150
112	4090	32110
113	4130	32100
114	4166	32061
115	4200	32009
116	4237	31981
117	4273	31942
118	4308	31896
119	4348	31886
120	4383	31844
121	4420	31810
122	4455	31767
123	4491	31728
124	4525	31681
125	4560	31631
126	4593	31575
127	4626	31520
128	4663	31489
129	4701	31462
130	4741	31456
131	4780	31436
132	4818	31412
133	4859	31407
134	4900	31397
135	4939	31381
136	4976	31349
137	5011	31302
138	5045	31253
139	5079	31199
140	5115	31163
141	5149	31116
142	5183	31063
143	5221	31037
144	5280	31136
145	5317	31103
