,MSA,year,income_pc
0,"Akron, OH",2018,49770
1,"Albany-Schenectady-Troy, NY",2018,57743
2,"Allentown-Bethlehem-Easton, PA-NJ",2018,53518
3,"Altoona, PA",2018,46236
4,"Anaheim-Santa Ana-Irvine, CA",2018,
5,"Ann Arbor, MI",2018,58667
6,"Anniston-Oxford, AL",2018,36482
7,"Appleton, WI",2018,50951
8,"Asheville, NC",2018,45540
9,"Atlanta-Sandy Springs-Alpharetta, GA",2018,53354
10,"Atlantic City-Hammonton, NJ",2018,48110
11,"Auburn-Opelika, AL",2018,38184
12,"Augusta-Richmond County, GA-SC",2018,41738
13,"Austin-Round Rock-Georgetown, TX",2018,60764
14,"Bakersfield, CA",2018,38079
15,"Baltimore-Columbia-Towson, MD",2018,60766
16,"Beaumont-Port Arthur, TX",2018,44232
17,"Birmingham-Hoover, AL",2018,51377
18,"Blacksburg-Christiansburg, VA",2018,37683
19,"Boston-Cambridge-Newton, MA-NH",2018,77752
20,"Boulder, CO",2018,72607
21,"Bremerton-Silverdale-Port Orchard, WA",2018,54597
22,"Buffalo-Cheektowaga, NY",2018,49344
23,"Burlington-South Burlington, VT",2018,56799
24,"Boston-Cambridge-Newton, MA-NH",2018,77752
25,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018,64053
26,"Canton-Massillon, OH",2018,44544
27,"Cape Coral-Fort Myers, FL",2018,52022
28,"Chambersburg-Waynesboro, PA",2018,46435
29,"Charleston, WV",2018,44328
30,"Charlotte-Concord-Gastonia, NC-SC",2018,52232
31,"Charlottesville, VA",2018,66576
32,"Chicago-Naperville-Arlington Heights, IL",2018,
33,"Chico, CA",2018,42441
34,"Cleveland-Elyria, OH",2018,53881
35,"College Station-Bryan, TX",2018,41146
36,"Colorado Springs, CO",2018,48562
37,"Columbus, GA-AL",2018,40276
38,"Columbus, OH",2018,51196
39,"Corpus Christi, TX",2018,43618
40,"Dallas-Fort Worth-Arlington, TX",2018,57562
41,"Dalton, GA",2018,36697
42,"Daphne-Fairhope-Foley, AL",2018,46905
43,"Deltona-Daytona Beach-Ormond Beach, FL",2018,43575
44,"Denver-Aurora-Lakewood, CO",2018,64114
45,"Des Moines-West Des Moines, IA",2018,53814
46,"Detroit-Warren-Dearborn, MI",2018,52469
47,"Dothan, AL",2018,41141
48,"Durham-Chapel Hill, NC",2018,52243
49,"Dutchess County-Putnam County, NY",2018,
50,"Chicago-Naperville-Elgin, IL-IN-WI",2018,61970
51,"Elmira, NY",2018,43941
52,"El Paso, TX",2018,36347
53,"Erie, PA",2018,44740
54,"Flint, MI",2018,40495
55,"Fond du Lac, WI",2018,48245
56,"Fort Collins, CO",2018,53836
57,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2018,
