MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
"Akron, OH",3,2.34,0.46,0.72,0.24,0.92,"160,665",0.06,0.14,0.4,0.63,0.68,0.4,0.06,0.09
"Albany-Schenectady-Troy, NY",3,2.29,0.47,0.66,0.3,0.93,"208,912",0.06,0.13,0.38,0.63,0.74,0.38,0.03,0.07
"Albuquerque, NM",4,2.42,0.45,0.72,0.23,0.9,"215,515",0.08,0.15,0.49,0.6,0.6,0.46,0.09,0.11
"Allentown-Bethlehem-Easton, PA-NJ",4,2.5,0.49,0.71,0.24,0.91,"191,596",0.06,0.13,0.42,0.64,0.72,0.37,0.06,0.08
"Atlanta-Sandy Springs-Alpharetta, GA",4,2.66,0.48,0.72,0.22,0.91,"1,573,561",0.07,0.11,0.48,0.67,0.7,0.28,0.12,0.09
"Augusta-Richmond County, GA-SC",4,2.69,0.44,0.72,0.22,0.89,"144,792",0.11,0.16,0.44,0.61,0.65,0.38,0.11,0.13
"Austin-Round Rock-Georgetown, TX",4,2.42,0.5,0.68,0.27,0.92,"624,985",0.06,0.1,0.58,0.71,0.74,0.23,0.13,0.07
"Bakersfield, CA",4,3.14,0.44,0.78,0.18,0.77,"217,085",0.05,0.11,0.57,0.58,0.51,0.49,0.08,0.15
"Baltimore-Columbia-Towson, MD",4,2.48,0.47,0.68,0.28,0.92,"672,232",0.07,0.12,0.39,0.67,0.74,0.36,0.05,0.08
"Baton Rouge, LA",3,2.57,0.44,0.71,0.24,0.89,"216,259",0.06,0.15,0.63,0.61,0.61,0.43,0.08,0.13
"Birmingham-Hoover, AL",3,2.5,0.47,0.75,0.17,0.9,"264,679",0.06,0.15,0.58,0.61,0.69,0.35,0.08,0.1
"Boise City, ID",4,2.67,0.55,0.74,0.2,0.92,"191,559",0.09,0.13,0.5,0.64,0.7,0.34,0.08,0.07
"Boston-Cambridge-Newton, MA-NH",4,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
"Bridgeport-Stamford-Norwalk, CT",4,2.64,0.5,0.71,0.23,0.9,"218,289",0.03,0.11,0.46,0.68,0.7,0.33,0.07,0.06
"Buffalo-Cheektowaga, NY",4,2.25,0.44,0.68,0.27,0.93,"260,535",0.06,0.14,0.36,0.63,0.7,0.44,0.03,0.1
"Cape Coral-Fort Myers, FL",4,2.43,0.53,0.75,0.21,0.9,"147,478",0.08,0.14,0.39,0.53,0.61,0.45,0.11,0.09
"Charleston-North Charleston, SC",3,2.52,0.49,0.73,0.22,0.93,"198,072",0.11,0.12,0.5,0.65,0.73,0.33,0.09,0.09
