MSA,year
"Akron, OH",2018
"Albany-Schenectady-Troy, NY",2018
"Allentown-Bethlehem-Easton, PA-NJ",2018
"Altoona, PA",2018
"Anaheim-Santa Ana-Irvine, CA",2018
"Ann Arbor, MI",2018
"Anniston-Oxford, AL",2018
"Appleton, WI",2018
"Asheville, NC",2018
"Atlanta-Sandy Springs-Alpharetta, GA",2018
"Atlantic City-Hammonton, NJ",2018
"Auburn-Opelika, AL",2018
"Augusta-Richmond County, GA-SC",2018
"Austin-Round Rock-Georgetown, TX",2018
"Bakersfield, CA",2018
"Baltimore-Columbia-Towson, MD",2018
"Beaumont-Port Arthur, TX",2018
"Birmingham-Hoover, AL",2018
"Blacksburg-Christiansburg, VA",2018
"Boston-Cambridge-Newton, MA-NH",2018
"Boulder, CO",2018
"Bremerton-Silverdale-Port Orchard, WA",2018
"Buffalo-Cheektowaga, NY",2018
"Burlington-South Burlington, VT",2018
"Boston-Cambridge-Newton, MA-NH",2018
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018
"Canton-Massillon, OH",2018
"Cape Coral-Fort Myers, FL",2018
"Chambersburg-Waynesboro, PA",2018
"Charleston, WV",2018
"Charlotte-Concord-Gastonia, NC-SC",2018
"Charlottesville, VA",2018
"Chicago-Naperville-Arlington Heights, IL",2018
"Chico, CA",2018
"Cleveland-Elyria, OH",2018
"College Station-Bryan, TX",2018
"Colorado Springs, CO",2018
"Columbus, GA-AL",2018
"Columbus, OH",2018
"Corpus Christi, TX",2018
"Dallas-Fort Worth-Arlington, TX",2018
"Dalton, GA",2018
"Daphne-Fairhope-Foley, AL",2018
"Deltona-Daytona Beach-Ormond Beach, FL",2018
"Denver-Aurora-Lakewood, CO",2018
"Des Moines-West Des Moines, IA",2018
"Detroit-Warren-Dearborn, MI",2018
"Dothan, AL",2018
"Durham-Chapel Hill, NC",2018
"Dutchess County-Putnam County, NY",2018
"Chicago-Naperville-Elgin, IL-IN-WI",2018
"Elmira, NY",2018
"El Paso, TX",2018
"Erie, PA",2018
"Flint, MI",2018
"Fond du Lac, WI",2018
"Fort Collins, CO",2018
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2018
"Fort Smith, AR-OK",2018
"Dallas-Fort Worth-Arlington, TX",2018
"Gadsden, AL",2018
"Gainesville, FL",2018
