"","msa","naics","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","n.5","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4"
"1",10100,"------","G",19132,"H",193539,"H",800919,1383,"741","271","180","139","26","17","6","N","N","N","N","N","N"
"2",10140,"------","G",15822,"G",149577,"G",651241,1548,"854","329","206","109","27","19","4","N","N","N","N","N","N"
"3",10180,"------","G",61821,"G",578119,"G",2457349,4036,"2052","825","558","387","131","62","14","5","N","N","N","N","N"
"4",10220,"------","G",14073,"G",142585,"G",566272,961,"492","213","137","78","23","9","5","3","N","N","N","N","N"
"5",10300,"------","G",23766,"G",223067,"G",928331,1785,"937","387","237","153","39","19","7","6","N","N","N","N","N"
"6",10420,"------","G",296941,"G",3714845,"G",14549253,16201,"7704","3223","2323","1811","616","388","95","30","11","6","N","4","N"
"7",10460,"------","G",11947,"G",92632,"G",391440,953,"495","195","133","96","19","11","N","N","N","N","N","N","N"
"8",10500,"------","G",46063,"G",434422,"G",1819151,3104,"1484","662","475","307","99","63","10","3","N","N","N","N","N"
"9",10540,"------","G",37607,"G",411533,"G",1686799,2688,"1382","561","372","258","63","35","9","7","N","N","N","N","N"
"10",10580,"------","G",364490,"G",4703160,"G",19095678,21574,"11168","4109","2974","2100","673","404","83","36","27","11","11","4","N"
"11",10620,"------","G",16698,"G",143481,"G",593326,1340,"658","293","202","129","36","16","5","N","N","N","N","N","N"
"12",10660,"------","G",11208,"G",102718,"G",451977,791,"416","159","107","73","16","14","5","N","N","N","N","N","N"
"13",10700,"------","G",34461,"G",306841,"G",1227871,1859,"913","394","271","181","51","28","11","8","N","N","N","N","N"
"14",10740,"------","G",310722,"G",3429229,"G",13831125,18828,"9403","3567","2751","2017","621","347","86","26","10","5","N","N","3"
"15",10760,"------","G",10487,"G",79843,"G",351568,777,"413","176","101","55","15","11","4","N","N","N","N","N","N"
"16",10780,"------","G",47731,"G",485546,"G",1969430,3288,"1553","751","513","308","91","49","17","3","3","3","N","N","N"
"17",10820,"------","G",17718,"G",185333,"G",786493,1354,"727","276","187","104","31","21","6","N","N","N","N","N","N"
"18",10860,"------","G",14012,"G",130358,"G",531810,797,"367","185","104","98","24","11","3","4","N","N","N","N","N"
"19",10900,"------","G",338802,"G",4293181,"G",17175532,18472,"9329","3673","2471","1814","636","398","89","40","22","11","8","N","N"
"20",10940,"------","G",11276,"G",102197,"G",445889,716,"353","163","98","58","24","14","4","N","N","N","N","N","N"
"21",10980,"------","G",10166,"G",89985,"G",382872,801,"410","161","124","75","20","7","N","N","N","N","N","N","N"
"22",11020,"------","G",53539,"G",539681,"G",2215160,3205,"1490","713","457","335","118","68","19","4","N","N","N","N","N"
