group,cluster
ankle_fix,0
ant_cerv_fusion,0
ant_tls_fusion,1
bariatric,2
breast reconstruction,2
bsp,2
bunionectomy,2
cardiac ablation,0
cardiac ablation_additional_discrete,0
cardiac ablation_linear_focal,0
cardiac_ablaton_anesthesia,0
cardiac_ablaton_ice,0
clavicle fixation,2
colorect,0
femoral shaft fixation,0
fess,2
hepat,1
hernia,0
hip_fracture_fixation,0
hysterect,2
intracranial_thromb,1
kidney ablation,2
laac,0
lap appendectomy,2
liver ablation,2
lung ablation,0
lung ablation,0
mastectomy,2
navigation,2
orthovisc_monovisc,2
partial shoulder arthroplasty,2
pka,2
pnn,2
post_cerv_fusion,1
post_tls_fusion,1
prostatectomy,2
prox_tibia_fixation,0
proximal humerus,0
radius/ulna internal fixation,2
revision_tha,0
revision_tka,0
robotic_assisted_surgery,2
rtc_slap_bank,2
septoplasty,2
tavr,0
tha,0
thoracic,0
tka,0
tpa,0
tsa,0
