Metropolitan Statistical Areas,Per capita personal income 2018,Per capita personal income 2019,Per capita personal income 2020,Per capita personal income Rank in United States 2020,Percent change 2019,Percent change 2020,Rank in United States Percent change from preceding period 2020
"Abilene, TX","44,039","46,493","49,948",202,5.6,7.4,126
"Akron, OH","49,770","51,714","54,843",123,3.9,6.1,229
"Albany, GA","36,889","38,764","42,744",343,5.1,10.3,28
"Albany-Lebanon, OR","42,811","43,971","48,040",242,2.7,9.3,42
"Albany-Schenectady-Troy, NY","57,743","60,500","65,112",34,4.8,7.6,113
"Albuquerque, NM","42,129","43,975","47,442",257,4.4,7.9,100
"Alexandria, LA","42,744","44,475","47,961",245,4.0,7.8,105
"Allentown-Bethlehem-Easton, PA-NJ","53,518","55,363","59,193",72,3.4,6.9,162
"Altoona, PA","46,236","47,573","52,096",159,2.9,9.5,39
"Amarillo, TX","46,895","49,008","51,116",179,4.5,4.3,336
"Ames, IA","43,564","45,160","47,233",261,3.7,4.6,322
"Anchorage, AK","61,584","63,208","64,904",36,2.6,2.7,367
"Ann Arbor, MI","58,667","61,101","63,655",40,4.1,4.2,341
"Anniston-Oxford, AL","36,482","37,708","40,195",370,3.4,6.6,192
"Appleton, WI","50,951","52,743","54,988",122,3.5,4.3,338
"Asheville, NC","45,540","47,559","49,809",208,4.4,4.7,313
"Athens-Clarke County, GA","40,371","42,391","44,364",318,5.0,4.7,319
"Atlanta-Sandy Springs-Alpharetta, GA","53,354","55,668","58,773",74,4.3,5.6,270
"Atlantic City-Hammonton, NJ","48,110","51,247","55,802",107,6.5,8.9,52
"Auburn-Opelika, AL","38,184","40,439","42,468",345,5.9,5.0,300
"Augusta-Richmond County, GA-SC","41,738","43,512","46,594",274,4.3,7.1,149
"Austin-Round Rock-Georgetown, TX","60,764","62,460","64,913",35,2.8,3.9,346
"Bakersfield, CA","38,079","39,559","44,721",309,3.9,13.0,9
"Baltimore-Columbia-Towson, MD","60,766","62,702","66,695",30,3.2,6.4,212
"Bangor, ME","41,554","43,083","47,315",258,3.7,9.8,33
"Barnstable Town, MA","71,735","75,339","80,420",10,5.0,6.7,178
"Baton Rouge, LA","48,500","49,994","52,978",143,3.1,6.0,235
"Battle Creek, MI","39,189","40,428","44,729",308,3.2,10.6,26
"Bay City, MI","42,286","43,554","47,786",249,3.0,9.7,35
"Beaumont-Port Arthur, TX","44,232","45,115","47,281",259,2.0,4.8,310
"Beckley, WV","39,240","41,026","42,914",340,4.6,4.6,321
"Bellingham, WA","47,898","49,868","52,787",145,4.1,5.9,246
"Bend, OR","55,473","57,493","61,216",56,3.6,6.5,201
"Billings, MT","52,457","54,197","56,649",97,3.3,4.5,328
"Binghamton, NY","43,754","45,505","49,652",210,4.0,9.1,45
"Birmingham-Hoover, AL","51,377","53,185","55,074",119,3.5,3.6,356
"Bismarck, ND","57,640","59,371","61,404",55,3.0,3.4,361
"Blacksburg-Christiansburg, VA","37,683","38,220","40,692",368,1.4,6.5,203
"Bloomington, IL","49,302","49,760","54,639",127,0.9,9.8,34
"Bloomington, IN","41,899","43,712","46,502",276,4.3,6.4,211
"Bloomsburg-Berwick, PA","45,463","46,776","50,771",185,2.9,8.5,65
"Boise City, ID","46,237","47,674","50,474",192,3.1,5.9,242
"Boston-Cambridge-Newton, MA-NH","77,752","80,965","85,724",6,4.1,5.9,241
"Boulder, CO","72,607","77,305","79,649",12,6.5,3.0,363
"Bowling Green, KY","36,082","37,074","39,734",376,2.7,7.2,141
"Bremerton-Silverdale-Port Orchard, WA","54,597","57,197","60,704",64,4.8,6.1,224
"Bridgeport-Stamford-Norwalk, CT","116,757","118,515","120,244",3,1.5,1.5,379
"Brownsville-Harlingen, TX","28,978","30,187","33,690",383,4.2,11.6,16
"Brunswick, GA","41,595","42,593","45,251",300,2.4,6.2,219
"Buffalo-Cheektowaga, NY","49,344","51,296","55,777",108,4.0,8.7,55
"Burlington, NC","39,742","41,256","43,973",326,3.8,6.6,194
"Burlington-South Burlington, VT","56,799","58,650","61,802",51,3.3,5.4,282
"California-Lexington Park, MD","56,372","57,891","61,144",59,2.7,5.6,264
"Canton-Massillon, OH","44,544","46,019","49,255",217,3.3,7.0,154
"Cape Coral-Fort Myers, FL","52,022","52,832","54,707",125,1.6,3.5,357
"Cape Girardeau, MO-IL","42,816","43,506","45,802",287,1.6,5.3,285
"Carbondale-Marion, IL","40,124","41,233","44,335",320,2.8,7.5,119
"Carson City, NV","50,378","52,880","56,510",98,5.0,6.9,169
"Casper, WY","71,185","70,054","68,447",22,-1.6,-2.3,382
"Cedar Rapids, IA","52,032","52,898","55,971",104,1.7,5.8,250
"Chambersburg-Waynesboro, PA","46,435","48,014","51,979",162,3.4,8.3,80
"Champaign-Urbana, IL","44,971","46,203","49,967",201,2.7,8.1,86
"Charleston, WV","44,328","45,527","48,623",230,2.7,6.8,175
"Charleston-North Charleston, SC","50,814","53,279","55,321",113,4.9,3.8,349
"Charlotte-Concord-Gastonia, NC-SC","52,232","54,086","56,682",96,3.5,4.8,311
"Charlottesville, VA","66,576","67,809","69,853",18,1.9,3.0,364
"Chattanooga, TN-GA","45,935","47,104","49,865",205,2.5,5.9,243
"Cheyenne, WY","52,224","53,532","55,094",118,2.5,2.9,365
"Chicago-Naperville-Elgin, IL-IN-WI","61,970","64,079","67,671",25,3.4,5.6,265
"Chico, CA","42,441","45,175","50,279",195,6.4,11.3,18
"Cincinnati, OH-KY-IN","54,109","56,402","59,607",71,4.2,5.7,258
"Clarksville, TN-KY","40,928","42,209","44,908",305,3.1,6.4,210
"Cleveland, TN","38,418","39,505","41,756",355,2.8,5.7,257
"Cleveland-Elyria, OH","53,881","55,294","58,846",73,2.6,6.4,205
"Coeur d'Alene, ID","45,311","46,762","48,953",222,3.2,4.7,316
"College Station-Bryan, TX","41,146","41,965","44,037",323,2.0,4.9,305
"Colorado Springs, CO","48,562","50,862","54,166",132,4.7,6.5,198
"Columbia, MO","45,575","47,977","50,421",193,5.3,5.1,295
"Columbia, SC","44,739","46,273","48,971",220,3.4,5.8,248
"Columbus, GA-AL","40,276","41,806","44,760",307,3.8,7.1,151
"Columbus, IN","51,441","53,268","55,804",106,3.6,4.8,312
"Columbus, OH","51,196","52,522","56,252",100,2.6,7.1,147
"Corpus Christi, TX","43,618","46,336","48,060",241,6.2,3.7,350
"Corvallis, OR","45,846","47,920","50,399",194,4.5,5.2,289
"Crestview-Fort Walton Beach-Destin, FL","52,807","55,156","58,663",77,4.4,6.4,213
"Cumberland, MD-WV","39,817","41,166","44,308",321,3.4,7.6,112
"Dallas-Fort Worth-Arlington, TX","57,562","59,409","61,554",53,3.2,3.6,354
"Dalton, GA","36,697","37,995","40,781",367,3.5,7.3,132
"Danville, IL","38,433","39,696","44,533",311,3.3,12.2,14
"Daphne-Fairhope-Foley, AL","46,905","48,270","50,953",181,2.9,5.6,272
"Davenport-Moline-Rock Island, IA-IL","48,660","49,614","53,620",135,2.0,8.1,90
"Dayton-Kettering, OH","47,682","48,990","52,367",155,2.7,6.9,165
"Decatur, AL","38,608","40,499","43,264",335,4.9,6.8,172
"Decatur, IL","47,662","48,151","52,196",158,1.0,8.4,70
"Deltona-Daytona Beach-Ormond Beach, FL","43,575","45,174","47,194",262,3.7,4.5,332
"Denver-Aurora-Lakewood, CO","64,114","67,089","69,822",19,4.6,4.1,345
"Des Moines-West Des Moines, IA","53,814","55,065","58,076",83,2.3,5.5,279
"Detroit-Warren-Dearborn, MI","52,469","54,213","58,356",81,3.3,7.6,111
"Dothan, AL","41,141","42,857","45,349",297,4.2,5.8,249
"Dover, DE","42,155","43,761","46,600",273,3.8,6.5,199
"Dubuque, IA","49,703","51,329","54,751",124,3.3,6.7,188
"Duluth, MN-WI","45,717","47,150","49,785",209,3.1,5.6,269
"Durham-Chapel Hill, NC","52,243","54,408","56,703",95,4.1,4.2,340
"East Stroudsburg, PA","42,708","44,150","48,409",233,3.4,9.6,36
"Eau Claire, WI","47,300","48,822","51,569",171,3.2,5.6,262
"El Centro, CA","35,331","37,196","44,500",315,5.3,19.6,1
"Elizabethtown-Fort Knox, KY","41,440","43,331","46,770",269,4.6,7.9,94
"Elkhart-Goshen, IN","46,541","46,845","49,875",204,0.7,6.5,202
"Elmira, NY","43,941","45,658","49,439",215,3.9,8.3,79
"El Paso, TX","36,347","38,681","41,732",356,6.4,7.9,99
"Enid, OK","44,288","45,053","46,702",270,1.7,3.7,351
"Erie, PA","44,740","46,259","50,536",190,3.4,9.2,43
"Eugene-Springfield, OR","44,957","45,960","49,583",211,2.2,7.9,102
"Evansville, IN-KY","46,925","49,168","51,695",169,4.8,5.1,292
"Fairbanks, AK","56,888","59,194","62,254",46,4.1,5.2,290
"Fargo, ND-MN","53,618","55,292","58,158",82,3.1,5.2,288
"Farmington, NM","35,408","36,095","38,370",377,1.9,6.3,217
"Fayetteville, NC","36,324","38,060","40,972",363,4.8,7.7,110
"Fayetteville-Springdale-Rogers, AR","67,281","68,808","70,085",17,2.3,1.9,376
"Flagstaff, AZ","48,416","48,837","53,036",142,0.9,8.6,60
"Flint, MI","40,495","41,940","46,152",284,3.6,10.0,32
"Florence, SC","40,184","42,238","45,178",301,5.1,7.0,160
"Florence-Muscle Shoals, AL","37,042","38,405","41,181",361,3.7,7.2,138
"Fond du Lac, WI","48,245","49,922","52,813",144,3.5,5.8,252
"Fort Collins, CO","53,836","55,935","58,725",75,3.9,5.0,302
"Fort Smith, AR-OK","37,211","38,666","40,801",365,3.9,5.5,274
"Fort Wayne, IN","46,551","47,762","50,238",196,2.6,5.2,287
"Fresno, CA","41,248","43,019","48,495",231,4.3,12.7,12
"Gadsden, AL","36,583","37,700","39,852",374,3.1,5.7,256
"Gainesville, FL","43,026","44,734","47,729",251,4.0,6.7,184
"Gainesville, GA","44,831","46,409","48,759",225,3.5,5.1,297
"Gettysburg, PA","48,826","50,785","54,172",131,4.0,6.7,187
"Glens Falls, NY","46,461","48,527","53,074",140,4.4,9.4,40
"Goldsboro, NC","38,115","40,116","42,882",341,5.2,6.9,164
"Grand Forks, ND-MN","49,813","51,429","57,102",92,3.2,11.0,21
