iter	Passed	Remaining
0	50	50528
1	75	37822
2	94	31312
3	131	32842
4	197	39348
5	221	36702
6	251	35707
7	281	34925
8	305	33668
9	317	31455
10	357	32149
11	388	32013
12	397	30172
13	413	29144
14	444	29156
15	473	29144
16	506	29298
17	537	29321
18	573	29602
19	607	29786
20	624	29124
21	641	28533
22	654	27792
23	688	28013
24	764	29813
25	803	30118
26	841	30341
27	875	30376
28	906	30350
29	937	30300
30	967	30248
31	997	30187
32	1031	30240
33	1062	30192
34	1085	29937
35	1115	29877
36	1145	29822
37	1175	29757
38	1206	29723
39	1240	29776
40	1276	29863
41	1319	30087
42	1357	30209
43	1390	30202
44	1420	30137
45	1453	30140
46	1485	30114
47	1515	30061
48	1547	30042
49	1566	29771
50	1586	29515
51	1623	29601
52	1680	30035
53	1727	30262
54	1822	31312
55	1862	31395
56	1899	31420
57	1936	31444
58	1971	31441
59	2025	31730
60	2056	31652
61	2087	31579
62	2119	31522
63	2160	31593
64	2195	31577
65	2232	31589
66	2268	31594
67	2332	31966
68	2377	32073
69	2416	32108
70	2452	32094
71	2484	32026
72	2514	31936
73	2547	31874
74	2579	31813
75	2610	31741
76	2640	31648
77	2671	31573
78	2702	31510
79	2739	31504
80	2776	31495
81	2816	31528
82	2942	32511
83	2991	32624
84	3031	32634
85	3069	32625
86	3100	32541
87	3132	32461
88	3162	32367
89	3200	32360
90	3232	32293
91	3267	32250
92	3300	32193
93	3331	32113
94	3361	32024
95	3392	31944
96	3429	31928
97	3471	31956
98	3509	31939
99	3540	31868
100	3570	31784
101	3600	31699
102	3634	31653
103	3668	31605
104	3701	31547
105	3723	31402
106	3754	31335
107	3785	31261
108	3816	31195
109	3848	31134
110	3892	31175
111	3992	31657
112	4041	31726
113	4085	31750
114	4121	31719
115	4154	31659
116	4185	31586
117	4215	31510
118	4246	31441
119	4287	31442
120	4320	31384
121	4352	31321
122	4382	31250
123	4413	31180
124	4445	31115
125	4482	31094
126	4522	31086
127	4566	31112
128	4624	31224
129	4667	31237
130	4710	31244
131	4752	31253
132	4794	31252
133	4828	31202
134	4860	31142
135	4895	31102
136	4927	31040
137	4964	31009
138	4997	30953
139	5076	31183
140	5116	31168
141	5149	31115
142	5181	31050
143	5212	30984
144	5243	30916
145	5274	30853
146	5309	30806
