iter	MAPE	RMSE
0	0.9659377081	24435.33262
1	0.933033247	23811.14463
2	0.9005069285	23226.40742
3	0.869350445	22646.88868
4	0.8380728713	22086.70234
5	0.8099900145	21557.19348
6	0.7786202348	21096.85368
7	0.7506842872	20591.03376
8	0.7233758213	20125.41777
9	0.6987438646	19674.84699
10	0.6749526381	19197.27301
11	0.651127672	18740.95483
12	0.62963057	18325.32966
13	0.6082617561	17911.69275
14	0.5887226806	17512.44168
15	0.5685899304	17121.64052
16	0.5506352107	16732.80154
17	0.5331098965	16372.7862
18	0.5169922344	16027.68771
19	0.5018030128	15696.13007
20	0.4874052438	15355.46309
21	0.4741523041	15034.47707
22	0.461548264	14720.58587
23	0.4498094117	14432.81328
24	0.4393097227	14132.49607
25	0.4292426187	13844.90398
26	0.4193967002	13578.88571
27	0.4105309649	13349.33435
28	0.4025739302	13102.34202
29	0.3948493463	12850.74263
30	0.387452418	12620.60211
31	0.3814657782	12394.05251
32	0.3758446949	12169.97909
33	0.3703898258	11957.79263
34	0.3656315736	11758.60422
35	0.3614792858	11565.62297
36	0.357687967	11376.69943
37	0.353453048	11198.42415
38	0.3502952279	11023.88696
39	0.3473538052	10852.58609
40	0.3447429135	10687.03838
41	0.3422540097	10524.22203
42	0.3394420497	10366.93527
43	0.336850333	10217.3875
44	0.3346459993	10074.12118
45	0.3322241949	9934.094503
46	0.3315975411	9809.710937
47	0.3298130272	9678.994488
48	0.328867124	9558.098593
49	0.3280598165	9465.909716
50	0.3261141526	9348.398039
51	0.3242945001	9233.263582
52	0.3230405208	9125.425851
53	0.3216204397	9018.429234
54	0.3206047049	8916.736159
55	0.3199276649	8816.715247
56	0.3192018339	8727.703176
57	0.3186272085	8642.970395
58	0.317546496	8547.444767
59	0.3167753857	8460.480963
60	0.3160080856	8378.442601
61	0.3155006049	8300.357304
62	0.3145986836	8221.732027
63	0.3139233083	8148.282291
64	0.3134196876	8084.030615
65	0.3132262211	8014.831651
66	0.312508054	7941.648938
67	0.3125203411	7880.559179
68	0.3118677595	7806.372271
69	0.3113117473	7742.953059
70	0.3111669522	7689.586528
71	0.3111148887	7631.085643
72	0.3107636908	7572.79906
73	0.3103775404	7521.08715
74	0.3098036052	7473.483807
75	0.3093902102	7420.518787
76	0.3091292871	7372.439681
77	0.309088659	7326.389188
78	0.3089817025	7280.031698
79	0.3089658875	7232.819237
80	0.3091450545	7193.951282
81	0.3089026013	7150.990759
82	0.3085139579	7108.327309
83	0.3082480295	7063.93307
84	0.3080390768	7025.960374
85	0.3075184976	6978.249674
86	0.3069620334	6939.389919
87	0.3062190308	6893.030688
88	0.3060444605	6859.048456
89	0.3058526024	6830.624598
90	0.3057396644	6800.506486
91	0.3060580711	6770.72413
92	0.3060304092	6744.190915
93	0.3057334491	6717.836172
94	0.3060967882	6702.830796
95	0.3056271755	6670.062407
96	0.3051505777	6631.430201
97	0.3048432802	6606.904946
98	0.3044514693	6587.942782
99	0.3040656496	6564.688764
100	0.3035190873	6543.198016
101	0.3033710925	6510.957505
102	0.3032187284	6487.457485
103	0.3032449479	6470.798988
104	0.3029535657	6434.433969
105	0.3026009309	6407.68333
106	0.3022390203	6383.973161
107	0.3019466676	6363.182188
108	0.3016744146	6342.290626
109	0.3017045986	6326.001856
110	0.3013232699	6307.83952
111	0.3009684066	6281.775686
112	0.3003052806	6258.818196
113	0.2998779728	6236.719444
114	0.2994385962	6218.077381
115	0.299146447	6200.25587
116	0.298765376	6179.334841
117	0.2987387964	6163.377131
118	0.2983326647	6144.712058
119	0.2984092184	6128.724752
120	0.2981941094	6116.069019
121	0.298198484	6104.076316
122	0.2982056094	6085.405663
123	0.2977431388	6069.914163
124	0.297442252	6047.005178
125	0.2973108142	6034.722865
126	0.297029362	6021.885015
127	0.2967361524	6011.243984
128	0.2962581571	5998.48413
129	0.2958528847	5985.414138
130	0.2956934525	5974.272199
131	0.2950762092	5955.535717
132	0.2946724368	5932.340634
133	0.2943647354	5918.973655
134	0.2937641796	5894.510835
135	0.2932864792	5878.581568
136	0.2926945455	5861.460098
137	0.2923365397	5849.917004
138	0.2919148899	5838.131342
139	0.2915001472	5826.728902
140	0.2912476371	5811.289112
141	0.2909232977	5800.994522
142	0.2906880612	5789.005329
143	0.2907104949	5779.796738
144	0.2903776567	5775.565391
145	0.2901543205	5768.372641
146	0.2896065331	5751.474423
147	0.2895192847	5743.000235
148	0.2890573846	5730.569994
149	0.2887312385	5717.076954
150	0.2883335486	5702.569948
151	0.2877342493	5692.317912
152	0.2874020159	5684.13681
153	0.2869904836	5669.020042
154	0.2865096283	5660.310944
155	0.2863274061	5650.776027
156	0.2858984052	5638.047438
157	0.2856739438	5631.588881
158	0.2854077961	5619.260688
159	0.2851095442	5611.114119
160	0.2847310102	5606.734066
161	0.2844341	5604.18455
162	0.2844718609	5600.239339
163	0.2842170945	5584.264937
164	0.2839576966	5570.453896
165	0.2836655812	5561.209777
166	0.2829521485	5551.598656
167	0.282147717	5534.262105
168	0.2819195018	5519.23641
169	0.2821567148	5518.749057
170	0.2813495087	5511.706493
171	0.2812019925	5499.960379
172	0.2806990448	5494.252327
173	0.2804374609	5488.817298
174	0.2801620703	5484.610473
175	0.2799258089	5477.101797
176	0.2795012868	5464.936703
177	0.2791556404	5452.476046
178	0.2788748426	5443.46822
179	0.2782790722	5434.972758
180	0.2779460151	5424.375121
181	0.2777822485	5420.964722
182	0.2776688404	5413.85983
183	0.2771601154	5406.640661
184	0.277034615	5399.210453
185	0.2767341358	5395.391343
186	0.2764533661	5386.426475
187	0.2761173788	5382.547498
188	0.2756107167	5374.441892
189	0.2755194379	5371.758694
190	0.2749339846	5364.030545
191	0.2747801589	5357.260075
192	0.2745046507	5345.117459
193	0.2742975225	5336.604081
194	0.2740237137	5327.00802
195	0.2736117107	5316.309916
196	0.2733349956	5308.316511
197	0.2730752986	5303.068122
198	0.2728521062	5293.572181
199	0.2726529417	5287.614771
200	0.2723521672	5276.659234
201	0.2721573031	5267.710825
202	0.2718368567	5265.228062
203	0.2715494686	5256.918901
204	0.2714285464	5248.152107
205	0.270885005	5236.339671
206	0.2708059035	5230.502834
207	0.270392053	5225.458054
208	0.2702381734	5218.592803
209	0.2700382819	5213.710008
210	0.269398277	5197.865869
211	0.2693033959	5191.194047
212	0.2692208989	5184.400592
213	0.2679853919	5168.326881
214	0.2677931114	5163.756939
215	0.2674432087	5154.271166
216	0.267068662	5150.388529
217	0.2669617095	5144.843584
218	0.2664496506	5138.093675
219	0.2661123244	5128.397576
220	0.2660214974	5124.176093
221	0.2658323458	5116.326701
222	0.2657019837	5114.006704
223	0.2655423574	5107.589937
224	0.2653479726	5103.640484
225	0.2650719446	5096.944472
226	0.2646167003	5088.749891
227	0.2644898708	5086.282829
228	0.2640066674	5078.894662
229	0.263402515	5072.041287
230	0.2628652103	5063.218325
231	0.2627112976	5057.634667
232	0.2624500744	5053.359646
233	0.2623090319	5050.255636
234	0.2619907237	5046.676344
235	0.2618089893	5039.311023
236	0.261714688	5036.767015
237	0.2614917949	5032.520475
238	0.2613231845	5024.199428
239	0.2611911392	5021.778505
240	0.260651117	5009.814428
241	0.2604992243	5002.915962
242	0.2601272194	4987.96136
243	0.2596290774	4977.633424
244	0.2594417497	4972.479505
245	0.2590157467	4960.282896
246	0.2584833711	4946.718282
